V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,Firmar,0.2336,Concurrente,Firmar,0.3404,Concurrente,Firmar,0.2127,,,,,,
Concurrente,CifrarAES,0.1157,Concurrente,CifrarAES,0.1432,Concurrente,CifrarAES,0.1352,,,,,,
Concurrente,CifrarRSA,0.0508,Concurrente,CifrarRSA,0.0618,Concurrente,CifrarRSA,0.0484,,,,,,
Concurrente,VerificarHMAC,0.0333,Concurrente,VerificarHMAC,0.0363,Concurrente,VerificarHMAC,0.0341,,,,,,
Concurrente,VerificarHMAC,0.0281,Concurrente,VerificarHMAC,0.0364,Concurrente,VerificarHMAC,0.0276,,,,,,
Concurrente,Firmar,0.2225,Concurrente,Firmar,0.3237,Concurrente,Firmar,0.2115,,,,,,
Concurrente,CifrarAES,0.0934,Concurrente,VerificarHMAC,0.0326,Concurrente,CifrarAES,0.0725,,,,,,
Concurrente,CifrarRSA,0.0677,Concurrente,CifrarAES,0.1085,Concurrente,CifrarRSA,0.0695,,,,,,
Concurrente,VerificarHMAC,0.0343,Concurrente,CifrarRSA,0.0608,Concurrente,VerificarHMAC,0.0331,,,,,,
Concurrente,VerificarHMAC,0.0246,Concurrente,Firmar,0.2485,Concurrente,VerificarHMAC,0.0325,,,,,,
Concurrente,Firmar,0.218,Concurrente,CifrarAES,0.1196,Concurrente,Firmar,0.2696,,,,,,
Concurrente,CifrarAES,0.0871,Concurrente,CifrarRSA,0.0705,Concurrente,CifrarAES,0.0899,,,,,,
Concurrente,CifrarRSA,0.0617,Concurrente,VerificarHMAC,0.0321,Concurrente,CifrarRSA,0.067,,,,,,
Concurrente,VerificarHMAC,0.0828,Concurrente,VerificarHMAC,0.0616,Concurrente,VerificarHMAC,0.0575,,,,,,
Concurrente,VerificarHMAC,0.0366,Concurrente,VerificarHMAC,0.0362,Concurrente,VerificarHMAC,0.0497,,,,,,
Concurrente,Firmar,0.2636,Concurrente,Firmar,0.2586,Concurrente,Firmar,0.2651,,,,,,
Concurrente,CifrarAES,0.0965,Concurrente,CifrarAES,0.0898,Concurrente,CifrarAES,0.0898,,,,,,
Concurrente,CifrarRSA,0.0586,Concurrente,CifrarRSA,0.0673,Concurrente,CifrarRSA,0.053,,,,,,
Concurrente,VerificarHMAC,0.036,Concurrente,VerificarHMAC,0.0319,Concurrente,VerificarHMAC,0.0373,,,,,,
